"transcript_id","length","expression","half_life","type","gc_content"
"NM_000122",2751,20.34,4.71428571428571,"coding",0.504782928623988
"NM_000123",4100,11.98,3.38983050847458,"coding",0.457047325102881
"NM_000124",4714,7.55,2.7027027027027,"coding",0.419620042217531
"NM_000127",3376,26.15,3.50877192982456,"coding",0.435521048162077
"NM_000135",5460,18.79,3.2258064516129,"coding",0.554475421863536
"NM_000136",4612,15,3.77358490566038,"coding",0.50609756097561
"NM_000137",1447,17.33,3.77358490566038,"coding",0.559065934065934
"NM_000144",2270,8.29,4,"coding",0.444969905417025
"NM_000152",3846,15.65,3.2258064516129,"coding",0.647560650493202
"NM_000155",1347,14.4,3.7037037037037,"coding",0.547266514806378
"NM_000158",2913,17.32,12.8275862068966,"coding",0.417205032301938
"NM_000161",2941,2.49,3.77358490566038,"coding",0.429698216735254
"NM_000163",4370,1.19,3.84615384615385,"coding",0.425597060624617
"NM_000165",3088,19.25,4.8,"coding",0.40447615958482
"NM_000168",5054,3.09,2.5,"coding",0.514574657941701
"NM_000171",1715,4.33,2.1505376344086,"coding",0.514900662251656
"NM_000179",4264,33.88,5,"coding",0.44947245017585
"NM_000181",2191,15.06,3.84615384615385,"coding",0.55525238744884
"NM_000189",7109,47,4,"coding",0.505154639175258
"NM_000190",1526,18.97,10.1538461538462,"coding",0.565448504983389
"NM_000191",1617,1.96,3.57142857142857,"coding",0.531847133757962
"NM_000196",1944,2.38,6.76190476190476,"coding",0.632383966244726
"NM_000197",1134,3.9,2.66666666666667,"coding",0.492666091458154
"NM_000199",2740,8.98,3.57142857142857,"coding",0.618853974121996
"NM_000201",2986,2.64,6.45614035087719,"coding",0.560498820357263
"NM_000203",2203,2.66,2.8169014084507,"coding",0.674333026678933
"NM_000208",4691,3.92,3.84615384615385,"coding",0.505442248758322
"NM_000210",5611,3.92,11.0769230769231,"coding",0.424690508940853
"NM_000214",5896,9.54,2.89855072463768,"coding",0.495791245791246
"NM_000215",4025,1.79,2.8169014084507,"coding",0.583735610842926
"NM_000216",6314,1.16,9.57575757575758,"coding",0.397446129289705
"NM_000229",1354,3.55,2.73972602739726,"coding",0.607620320855615
"NM_000232",4229,4.58,13.3333333333333,"coding",0.379001883239171
"NM_000234",3083,17.96,3.77358490566038,"coding",0.59904
"NM_000237",3549,44.43,9.63636363636364,"coding",0.43562412342216
"NM_000245",6641,12.41,10.9333333333333,"coding",0.435209615948402
"NM_000249",2524,10.17,3.38983050847458,"coding",0.454290296712109
"NM_000251",3145,19.05,9.44,"coding",0.402568218298555
"NM_000252",3411,3.19,2.5974025974026,"coding",0.381887456037515
"NM_000254",7122,7.33,8.18181818181818,"coding",0.450080591637432
"NM_000255",2798,5.89,9.90476190476191,"coding",0.393597480976122
"NM_000263",2798,5.24,3.77358490566038,"coding",0.64040404040404
"NM_000264",6825,9.71,2.85714285714286,"coding",0.523551142923112
"NM_000267",12394,6.05,9.5,"coding",0.415922014622258
"NM_000268",6081,21.79,9.84615384615385,"coding",0.556470588235294
"NM_000270",1418,118.91,4.76190476190476,"coding",0.50101557210562
"NM_000271",4677,18.92,10.5333333333333,"coding",0.491386554621849
"NM_000280",2816,4,2.17391304347826,"coding",0.451684561273602
"NM_000282",2518,10.92,2.7027027027027,"coding",0.444444444444444
"NM_000286",2609,1.88,2.38095238095238,"coding",0.436377531524647
"NM_000287",3287,3.11,4.8,"coding",0.617015098722416
"NM_000288",1451,4.85,3.03030303030303,"coding",0.452544704264099
"NM_000289",2812,81.1,11.04,"coding",0.503883495145631
"NM_000290",845,5.92,2.40963855421687,"coding",0.622461170848268
"NM_000292",4566,8.49,3.7037037037037,"coding",0.515461886941107
"NM_000294",1571,13.39,5.91304347826087,"coding",0.534918276374443
"NM_000297",5073,2.52,2.63157894736842,"coding",0.450186677146787
"NM_000299",5451,1.3,2.5,"coding",0.562813137873446
"NM_000303",2302,33.96,3.38983050847458,"coding",0.528665207877462
"NM_000305",1669,43.94,11.1724137931034,"coding",0.420496894409938
"NM_000309",1703,2.83,11.1428571428571,"coding",0.594497607655502
"NM_000312",1776,2.06,2.38095238095238,"coding",0.596382136800452
"NM_000313",3309,1.66,4,"coding",0.395314353499407
"NM_000314",5572,12.57,3.57142857142857,"coding",0.367234292425132
"NM_000317",921,10.05,3.7037037037037,"coding",0.370412844036697
"NM_000318",1630,8.87,3.57142857142857,"coding",0.398656752218758
"NM_000319",3215,30.44,7.46666666666667,"coding",0.540927482103953
"NM_000320",1550,36.36,8.33333333333333,"coding",0.500995355009954
"NM_000321",4772,7.64,9.92,"coding",0.370805369127517
"NM_000332",10692,4.18,2.56410256410256,"coding",0.465679803884594
"NM_000333",4416,11.34,2.53164556962025,"coding",0.438896551724138
"NM_000339",3131,4.5,3.27868852459016,"coding",0.541045446380456
"NM_000341",2323,4.44,7.14285714285714,"coding",0.418322667564837
"NM_000346",3935,3.18,2.24719101123596,"coding",0.510557110150089
"NM_000351",6366,3.22,9.92,"coding",0.432619647355164
"NM_000362",5496,5.6,10.4615384615385,"coding",0.486621709810746
"NM_000363",787,2.45,2.40963855421687,"coding",0.610913404507711
"NM_000367",3258,7.43,10.8,"coding",0.402324120603015
"NM_000373",2244,33.37,4,"coding",0.477600721587492
"NM_000375",1279,10.93,3.57142857142857,"coding",0.562874251497006
"NM_000376",4791,21.37,3.50877192982456,"coding",0.539644714038128
"NM_000380",1439,6.5,2.77777777777778,"coding",0.432857142857143
"NM_000382",3823,14.84,10.4516129032258,"coding",0.450445584661086
"NM_000386",2417,41.6,8.47058823529412,"coding",0.471174685739055
"NM_000387",1803,12.41,10.2068965517241,"coding",0.49437570303712
"NM_000390",5442,5.05,3.125,"coding",0.368701728576683
"NM_000392",4868,1.92,2.56410256410256,"coding",0.448673785738891
"NM_000400",2355,21.88,8.34782608695652,"coding",0.600048685491724
"NM_000403",1647,30.81,10.5,"coding",0.585585585585586
"NM_000404",2409,49.24,11.5555555555556,"coding",0.508125247720967
"NM_000408",2796,23.09,11.1304347826087,"coding",0.393152099105299
"NM_000411",5991,5.21,3.125,"coding",0.44222141384746
"NM_000413",2230,7.57,2.27272727272727,"coding",0.642072213500785
"NM_000416",2059,16.21,4.88888888888889,"coding",0.394406943105111
"NM_000421",2145,3.23,7.2,"coding",0.520298646756883
"NM_000422",1512,50.87,20.1,"coding",0.618984838497034
"NM_000430",5581,19.9,4.15384615384615,"coding",0.420468777956701
"NM_000431",1952,12.4,3.63636363636364,"coding",0.60007059654077
"NM_000433",2406,1.88,2.4390243902439,"coding",0.491398323775915
"NM_000435",8091,9.16,5.66666666666667,"coding",0.630529953917051
"NM_000437",2547,8.44,2.89855072463768,"coding",0.476340694006309
"NM_000447",2236,22.61,4.92307692307692,"coding",0.550022232103157
"NM_000455",3286,10.33,2.66666666666667,"coding",0.670209535378075
"NM_000456",2564,11.78,2.63157894736842,"coding",0.538650306748466
"NM_000461",6341,4,2.5974025974026,"coding",0.43257065948856
"NM_000465",2530,13.81,2.66666666666667,"coding",0.378605330412559
"NM_000466",4390,2.35,3.17460317460317,"coding",0.416113527122911
"NM_000474",1669,2.31,2.73972602739726,"coding",0.571779141104295
"NM_000476",2271,17.93,16,"coding",0.57801094890511
"NM_000479",2008,3.21,3.44827586206897,"coding",0.730237700386954
"NM_000489",10452,6.29,2.89855072463768,"coding",0.368562472010748
"NM_000495",6445,9.73,2.8169014084507,"coding",0.50790726239828
"NM_000505",2048,4.66,8.94117647058824,"coding",0.649803536345776
"NM_000522",2514,1.42,2.22222222222222,"coding",0.437088733798604
"NM_000527",5175,42.28,2.53164556962025,"coding",0.546684709066306
"NM_000530",1944,2.97,3.63636363636364,"coding",0.559712967708867
"NM_000534",3239,3.75,2.73972602739726,"coding",0.364068441064639
"NM_000535",2836,6.87,3.77358490566038,"coding",0.471824072256038
"NM_000545",3249,2.31,2.85714285714286,"coding",0.63683904706566
"NM_000546",2629,36.93,11.6923076923077,"coding",0.533837579617834
"NM_000553",5745,7.54,2.53164556962025,"coding",0.384158415841584
"NM_000560",1572,3.06,3.2258064516129,"coding",0.453156146179402
"NM_000574",2308,150.63,9.25,"coding",0.391505791505792
"NM_000598",2638,1.78,6.70967741935484,"coding",0.511289705319556
"NM_000599",6316,1.71,12,"coding",0.518512582144574
"NM_000600",1125,1.71,2.5974025974026,"coding",0.425022182786158
"NM_000602",2876,38.89,6.28571428571429,"coding",0.515209125475285
"NM_000614",1891,3.72,3.27868852459016,"coding",0.441640378548896
"NM_000617",4103,17.26,5.05263157894737,"coding",0.430784123910939
"NM_000618",7260,1.78,2.85714285714286,"coding",0.366222344372681
"NM_000628",1935,3.98,6.66666666666667,"coding",0.475528078310149
"NM_000629",6099,3.62,7.2,"coding",0.420082304526749
"NM_000633",6492,2.7,2.73972602739726,"coding",0.443976166254905
"NM_000635",4015,7.37,2.85714285714286,"coding",0.585501389239707
"NM_000637",2262,63.19,13.2972972972973,"coding",0.467369808833223
"NM_000641",2354,41.36,4.17391304347826,"coding",0.56349873843566
"NM_000660",2346,21.84,23.2727272727273,"coding",0.635971223021583
"NM_000662",1438,5.36,2.38095238095238,"coding",0.371873262923847
"NM_000671",2644,19.82,11.25,"coding",0.414781297134238
"NM_000676",1885,20.12,2.66666666666667,"coding",0.525624178712221
"NM_000688",2407,56.33,6.35294117647059,"coding",0.514105263157895
"NM_000691",1722,1.06,10.2325581395349,"coding",0.602806589383771
"NM_000692",3044,56.21,4.48484848484848,"coding",0.517833553500661
"NM_000693",3442,2.1,3.44827586206897,"coding",0.474488325165754
"NM_000696",2500,22.62,11.2222222222222,"coding",0.453862212943633
"NM_000697",2335,2.1,2.40963855421687,"coding",0.568561872909699
"NM_000700",1399,30.7,17.3333333333333,"coding",0.408279800142755
"NM_000709",1781,6.99,19.5,"coding",0.606773823191734
"NM_000712",1094,17.2,9.71428571428572,"coding",0.504655493482309
"NM_000720",7193,1.73,2.5,"coding",0.485417329515325
"NM_000722",3822,14.16,3.03030303030303,"coding",0.371652081675948
"NM_000723",3687,9.08,2.66666666666667,"coding",0.599299380220965
"NM_000725",2714,9.74,6.42857142857143,"coding",0.6158307744797
"NM_000740",2757,1.5,2.1978021978022,"coding",0.431077694235589
"NM_000743",3020,1.05,6.15384615384615,"coding",0.486567164179104
"NM_000745",2468,7.15,8,"coding",0.419265801821695
"NM_000747",2437,1.3,3.77358490566038,"coding",0.534375
"NM_000754",1289,40.88,13.0909090909091,"coding",0.591109154929577
"NM_000773",1667,1.73,2.35294117647059,"coding",0.512544802867384
"NM_000781",1821,1.37,2.4390243902439,"coding",0.559608056614045
"NM_000785",2503,1.76,9.2,"coding",0.563237774030354
"NM_000786",3381,33.91,10.9411764705882,"coding",0.410459587955626
"NM_000788",2460,16.16,6.73684210526316,"coding",0.353950518754988
"NM_000791",3932,8.88,9.42857142857143,"coding",0.448073488134728
"NM_000793",6703,38.05,3.57142857142857,"coding",0.407593347976153
"NM_000808",1901,3.95,14.4,"coding",0.468247478877078
"NM_000820",2461,14.03,2.73972602739726,"coding",0.635964912280702
"NM_000821",3236,7.3,10,"coding",0.463208046585495
"NM_000825",1512,1.65,2.08333333333333,"coding",0.391505078485688
"NM_000836",4299,6.89,5.45454545454546,"coding",0.690255851932499
"NM_000837",1986,33.52,16.9565217391304,"coding",0.636040609137056
"NM_000844",4113,1.12,2.85714285714286,"coding",0.491443721378645
"NM_000845",3321,1.68,2.29885057471264,"coding",0.45707343412527
"NM_000853",1004,2.11,9.33333333333333,"coding",0.573065902578797
"NM_000858",1098,53.08,24,"coding",0.625454545454545
"NM_000859",4471,19.64,3.63636363636364,"coding",0.411479028697572
"NM_000861",3870,1.69,2.73972602739726,"coding",0.45561328213237
"NM_000864",2855,1.52,4.90566037735849,"coding",0.50617655920458
"NM_000868",4775,1.35,9.52941176470588,"coding",0.409445498629559
"NM_000875",4989,78.1,3.03030303030303,"coding",0.51671434409481
"NM_000876",9090,16.35,10.3333333333333,"coding",0.494346063580115
"NM_000880",2116,1.5,2.56410256410256,"coding",0.377480158730159
"NM_000882",1444,2.13,2.32558139534884,"coding",0.447368421052632
"NM_000883",2880,51.1,9.77777777777778,"coding",0.618919954040597
"NM_000884",1712,107.68,17.4782608695652,"coding",0.524530587522714
"NM_000889",2798,1.92,2.17391304347826,"coding",0.59408410548824
"NM_000890",2912,1.19,2.89855072463768,"coding",0.549110085695452
"NM_000894",523,2.19,1.98019801980198,"coding",0.643129770992366
"NM_000895",2060,35.32,18.8571428571429,"coding",0.42803738317757
"NM_000901",5749,1.86,2.73972602739726,"coding",0.440435082872928
"NM_000904",976,53,5.81818181818182,"coding",0.550792171481827
"NM_000908",2651,70.52,5.33333333333333,"coding",0.418701368392809
"NM_000909",2775,3.61,2.66666666666667,"coding",0.363504706734251
"NM_000916",4361,2.12,2.63157894736842,"coding",0.498974242078869
"NM_000921",4124,239.94,2.7027027027027,"coding",0.400368412622137
"NM_000922",4784,14.46,3.84615384615385,"coding",0.433361134278565
"NM_000925",1501,42.37,11.5555555555556,"coding",0.443264764432648
"NM_000932",3705,18.26,9.5,"coding",0.614742366412214
"NM_000933",5546,11.62,2.40963855421687,"coding",0.402270308620078
"NM_000935",4072,10.87,9.14285714285714,"coding",0.375746066196419
"NM_000937",6732,24.5,10.1428571428571,"coding",0.561268336049785
"NM_000938",3748,42.28,9.57575757575758,"coding",0.41003963011889
"NM_000944",4425,19.6,3.57142857142857,"coding",0.428631667720852
"NM_000945",3111,33.53,4.6,"coding",0.406746031746032
"NM_000946",1471,6.62,3.84615384615385,"coding",0.395643007730148
"NM_000947",2353,14.23,2.94117647058824,"coding",0.41511072514112
"NM_000950",4490,8.91,2.38095238095238,"coding",0.366956134491205
"NM_000956",2395,1.77,3.7037037037037,"coding",0.495117982099268
"NM_000958",3432,5.25,2.22222222222222,"coding",0.497231127951035
"NM_000962",5093,3.29,6.5,"coding",0.506972111553785
"NM_000963",4465,2.61,2.29885057471264,"coding",0.368292682926829
"NM_000966",2992,30.93,6,"coding",0.601645526225574
"NM_000968",1449,194.96,23.2,"coding",0.455308281649033
"NM_000977",1296,98.97,18.5454545454545,"coding",0.547325102880658
"NM_000984",979,32.53,3.07692307692308,"coding",0.478350515463917
"NM_000991",4243,31.98,6.22222222222222,"coding",0.55096222380613
"NM_001000",401,49.32,3.7037037037037,"coding",0.430769230769231
"NM_001001",549,27.06,11.3333333333333,"coding",0.415680473372781
"NM_001001132",6439,5.54,5.77777777777778,"coding",0.46031746031746
"NM_001001323",6950,9.35,6.46153846153846,"coding",0.377755933155456
"NM_001001330",2308,8.31,3.50877192982456,"coding",0.348221191028616
"NM_001001389",5748,54.7,14.9333333333333,"coding",0.443228970199925
"NM_001001396",8911,5.37,9.37142857142857,"coding",0.466704225352113
"NM_001001410",1214,23.53,10,"coding",0.668595041322314
"NM_001001419",7096,11.34,3.125,"coding",0.370720022544737
"NM_001001436",1415,9.68,2.35294117647059,"coding",0.355588020452885
"NM_001001479",2542,1.97,3.27868852459016,"coding",0.62862669245648
"NM_001001484",3810,5.8,2.89855072463768,"coding",0.370311252992817
"NM_001001485",4753,11.77,10.5454545454545,"coding",0.446743929359823
"NM_001001503",2151,7.21,4.57142857142857,"coding",0.479913606911447
"NM_001001520",2344,14.9,6,"coding",0.632112924569916
"NM_001001521",2185,25.17,9.16666666666667,"coding",0.414726840855107
"NM_001001523",3084,6.44,2.4390243902439,"coding",0.561047463175123
"NM_001001547",2338,13.33,13.6363636363636,"coding",0.3828125
"NM_001001549",5043,27.5,3.50877192982456,"coding",0.489916703200351
"NM_001001551",1630,2.54,2.32558139534884,"coding",0.455128205128205
"NM_001001563",2572,46.45,15.1111111111111,"coding",0.51717292038912
"NM_001001655",1051,27.54,2.94117647058824,"coding",0.543689320388349
"NM_001001660",1149,2.26,2.5974025974026,"coding",0.340579710144928
"NM_001001662",3313,2.21,2.32558139534884,"coding",0.418730301665916
"NM_001001664",5721,3.12,2.63157894736842,"coding",0.359808454425363
"NM_001001683",861,7.16,4.66666666666667,"coding",0.526315789473684
"NM_001001710",1163,39.91,7.11111111111111,"coding",0.588450962419798
"NM_001001712",564,2.73,2.06185567010309,"coding",0.575438596491228
"NM_001001788",939,1.94,3.125,"coding",0.554782608695652
"NM_001001795",1979,5.5,8,"coding",0.678615071283096
"NM_001001852",2392,57.86,2.56410256410256,"coding",0.653663177925785
"NM_001001894",9021,6.56,4,"coding",0.412388465020044
"NM_001001925",6452,10.65,3.44827586206897,"coding",0.426948311729877
"NM_001001929",10323,2.04,2.89855072463768,"coding",0.4760813235001
"NM_001001971",3379,12.25,2.24719101123596,"coding",0.391562294001318
"NM_001001974",3750,4.42,2.89855072463768,"coding",0.386527666399358
"NM_001001976",2224,24.34,3.33333333333333,"coding",0.393667007150153
"NM_001001992",3052,6.13,3.125,"coding",0.377268058883944
"NM_001001998",2834,46.96,8,"coding",0.492131616595136
"NM_001002021",3402,16.22,5.33333333333333,"coding",0.636041358936485
"NM_001002026",3359,2.75,2.1978021978022,"coding",0.450851508813863
"NM_001002033",1696,71.98,7.07692307692308,"coding",0.505559189012426
"NM_001002255",702,1.09,2.66666666666667,"coding",0.391347099311701
"NM_001002259",4501,2.4,2.27272727272727,"coding",0.480796586059744
"NM_001002261",3045,17.81,2.5974025974026,"coding",0.586649128576126
"NM_001002266",2604,10.63,3.17460317460317,"coding",0.490249528202978
"NM_001002269",1220,22.77,3.2258064516129,"coding",0.418768328445748
"NM_001002292",2767,45.76,12.4444444444444,"coding",0.478560867422376
"NM_001002755",1181,8.98,16.3636363636364,"coding",0.420935412026726
"NM_001002762",4342,17.11,3.50877192982456,"coding",0.563094947522577
"NM_001002796",3000,16.95,2.89855072463768,"coding",0.360291785601015
"NM_001002836",1973,41.43,3.63636363636364,"coding",0.70360824742268
"NM_001002837",2416,3.43,3.27868852459016,"coding",0.612745098039216
"NM_001002880",1287,4.34,5.14285714285714,"coding",0.510108864696734
"NM_001002909",6877,17.02,3.50877192982456,"coding",0.48536299765808
"NM_001002913",832,10.43,4,"coding",0.62993762993763
"NM_001002914",2780,1.56,2.53164556962025,"coding",0.590370104204096
"NM_001002919",496,2.72,2.08333333333333,"coding",0.494932432432432
"NM_001002924",1349,18.3,12,"coding",0.391006097560976
"NM_001002926",3892,11.43,2.8169014084507,"coding",0.36963781145646
"NM_001003395",1409,19.45,12.7058823529412,"coding",0.435567010309278
"NM_001003398",3589,11.21,2.8169014084507,"coding",0.399780581459133
"NM_001003652",5415,19.05,4.88888888888889,"coding",0.400843023255814
"NM_001003675",8944,4.3,2.35294117647059,"coding",0.448317572025511
"NM_001003679",5157,4.71,3.33333333333333,"coding",0.35316997277324
"NM_001003681",4220,11.89,2.5974025974026,"coding",0.428571428571429
"NM_001003682",2491,2.28,10.9090909090909,"coding",0.591166936790924
"NM_001003688",3056,10.64,2.8169014084507,"coding",0.411111111111111
"NM_001003690",1550,21.23,2.24719101123596,"coding",0.521767381416504
"NM_001003704",1193,18.03,6.72727272727273,"coding",0.608888888888889
"NM_001003715",3710,6.13,3.2258064516129,"coding",0.526868178001679
"NM_001003722",3350,30.74,10.125,"coding",0.488794669897032
"NM_001003789",2190,2.81,4.5,"coding",0.512772875058059
"NM_001003791",4767,10.1,10.1538461538462,"coding",0.395634379263301
"NM_001003793",2817,6.71,2.94117647058824,"coding",0.363830039057877
"NM_001003796",1601,78.61,11.1428571428571,"coding",0.513717421124829
"NM_001003803",1567,2.33,2.5,"coding",0.459905001397038
"NM_001003809",3347,3.89,2.73972602739726,"coding",0.455202587026821
"NM_001003828",1808,30.53,4,"coding",0.519964189794091
"NM_001003891",3384,14.34,3.27868852459016,"coding",0.609967173977917
"NM_001003897",1385,46.89,7.63636363636364,"coding",0.546599496221662
"NM_001003941",4257,75.72,8.8,"coding",0.534554046072061
"NM_001003942",4700,2.93,2.17391304347826,"coding",0.547634478289047
"NM_001004065",6866,38.96,4.16,"coding",0.464669628780278
"NM_001004105",2932,29.69,4.70588235294118,"coding",0.625255623721881
"NM_001004125",1910,8.03,2.85714285714286,"coding",0.623983739837398
"NM_001004127",2585,4.7,2.73972602739726,"coding",0.416282642089094
"NM_001004304",2154,61.96,2.53164556962025,"coding",0.520158934205913
"NM_001004309",1790,1.83,2.29885057471264,"coding",0.471071767309516
"NM_001004317",5504,2.22,2.17391304347826,"coding",0.380095482923246
"NM_001004346",2463,3.05,3.2258064516129,"coding",0.37044788614483
"NM_001004354",1785,7.67,2.66666666666667,"coding",0.592199924271109
"NM_001004356",3215,15.09,9.88235294117647,"coding",0.644092641454119
"NM_001004426",3239,1.19,2.66666666666667,"coding",0.608861970035065
"NM_001004431",1348,65.08,3.33333333333333,"coding",0.649704142011834
"NM_001005207",4488,9.76,4.57142857142857,"coding",0.46413619871616
"NM_001005291",4284,55.08,5.6,"coding",0.63313965137247
"NM_001005335",2129,156.22,18.5454545454545,"coding",0.51022548505506
"NM_001005336",3253,18.54,9.33333333333333,"coding",0.592501536570375
"NM_001005339",910,18.13,5.90476190476191,"coding",0.475622968580715
"NM_001005340",2775,1.73,11.1428571428571,"coding",0.447505584512286
"NM_001005353",2352,14.03,4.28571428571429,"coding",0.424086021505376
"NM_001005369",2965,14.22,8.57142857142857,"coding",0.433389544688027
"NM_001005373",3186,16.29,3.2258064516129,"coding",0.592628205128205
"NM_001005377",1548,38.15,8.30769230769231,"coding",0.555555555555556
"NM_001005386",3878,36.18,22.56,"coding",0.373880989994734
"NM_001005404",5242,3.18,2.12765957446809,"coding",0.457826747720365
"NM_001005417",2227,91.4,10.1176470588235,"coding",0.607765057242409
"NM_001005474",3938,3.2,2.17391304347826,"coding",0.429551451187335
"NM_001005526",4314,96.85,13.1707317073171,"coding",0.451127819548872
"NM_001005744",3647,22.3,4.74074074074074,"coding",0.459826589595376
"NM_001005746",3185,1.66,2.29885057471264,"coding",0.34688244887718
"NM_001005782",1527,34.95,11.52,"coding",0.368745716244003
"NM_001005851",2502,1.5,2.35294117647059,"coding",0.38068378036146
"NM_001005855",5871,18.98,8.36363636363636,"coding",0.518375241779497
"NM_001005862",4816,8.23,5.71428571428571,"coding",0.58233841086867
"NM_001005920",2074,44.95,12.75,"coding",0.62564632885212
"NM_001006109",1809,24.53,8.13333333333333,"coding",0.529574350469873
"NM_001006114",1202,3.52,11.1428571428571,"coding",0.492399206873761
"NM_001006612",1102,9.01,3.125,"coding",0.36
"NM_001006616",2605,24.11,10.4347826086957,"coding",0.587392550143266
"NM_001006620",3395,35.08,8.53333333333333,"coding",0.507398881946728
"NM_001006634",3480,34.89,4,"coding",0.532761087267525
"NM_001006639",1220,7.04,4.11764705882353,"coding",0.421717171717172
"NM_001006655",2135,1.21,3.125,"coding",0.482758620689655
"NM_001006656",4711,14.21,2.5,"coding",0.475884955752212
"NM_001006657",6957,3.71,3.125,"coding",0.392151204732362
"NM_001006665",3199,25.07,9.625,"coding",0.572803078896729
"NM_001006681",1277,1.8,2.8169014084507,"coding",0.500396510705789
"NM_001006944",3149,48.15,8,"coding",0.646945337620579
"NM_001006947",5195,4.79,8.88888888888889,"coding",0.417560975609756
"NM_001007024",5246,6.8,3.03030303030303,"coding",0.45581627558662
"NM_001007026",4367,21.17,9.42857142857143,"coding",0.62158438576349
"NM_001007069",2173,14.07,13.4634146341463,"coding",0.381642512077295
"NM_001007094",7047,2.02,3.07692307692308,"coding",0.403227749006383
"NM_001007101",2969,3.05,2.29885057471264,"coding",0.367799113737075
"NM_001007169",3655,4.51,19.2631578947368,"coding",0.432902033271719
"NM_001007176",1292,33.08,5.12,"coding",0.346666666666667
"NM_001007214",3060,22.17,11,"coding",0.38504347826087
"NM_001007229",3105,21.63,3.27868852459016,"coding",0.451710261569417
"NM_001007233",2249,7.51,5.25,"coding",0.3765573089701
"NM_001007246",13003,2.67,2.63157894736842,"coding",0.40523138832998
"NM_001007257",7958,2.82,2.4390243902439,"coding",0.443957826439578
"NM_001007269",1647,11.89,2.53164556962025,"coding",0.554248366013072
"NM_001007464",1323,12.91,12.8,"coding",0.379159847244954
"NM_001007466",11123,8.81,3.57142857142857,"coding",0.436429624588862
"NM_001007471",6289,3.56,3.7037037037037,"coding",0.433409312927385
"NM_001007527",3237,2.08,7,"coding",0.339576145884672
"NM_001007533",805,1.91,1.98019801980198,"coding",0.633291614518148
"NM_001007553",4115,127.52,20.7692307692308,"coding",0.413717354161582
"NM_001007561",2210,5.14,6.33333333333333,"coding",0.525190997315713
"NM_001007593",2473,3.39,15.6666666666667,"coding",0.599916909015372
"NM_001007793",2659,52.08,5.85714285714286,"coding",0.470887918486172
"NM_001008215",1698,4.88,2.29885057471264,"coding",0.417514124293785
"NM_001008237",838,4.26,2.4390243902439,"coding",0.380446333687566
"NM_001008239",5443,8.52,2.56410256410256,"coding",0.409823629812251
"NM_001008388",1617,15.81,3.77358490566038,"coding",0.37138482477033
"NM_001008390",4608,5.08,3.17460317460317,"coding",0.363456464379947
"NM_001008393",3503,4.54,2.89855072463768,"coding",0.360665478312537
"NM_001008397",1398,19.12,8.27586206896552,"coding",0.402841061377647
"NM_001008401",3681,1.3,2.22222222222222,"coding",0.404093288910043
"NM_001008404",1847,1.25,2.04081632653061,"coding",0.643868878996358
"NM_001008405",2971,15.88,3.57142857142857,"coding",0.339130434782609
"NM_001008485",2349,24.73,10.6666666666667,"coding",0.55786895284752
"NM_001008489",1138,1.69,2.1978021978022,"coding",0.394290811775201
